Pos,G,GS,RshTD,RecTD
HB,1620,1045.0,479.0,282.0
HB/FB,14,10.0,2.0,1.0
HB/LE,14,14.0,3.0,12.0
LH,1349,1079.0,377.0,271.0
LH/FB,24,24.0,8.0,8.0
LH/QB,11,11.0,2.0,2.0
LH/RDH,12,12.0,3.0,3.0
LH/RH,12,9.0,2.0,4.0
LHB,252,177.0,59.0,44.0
LHB/FB,14,14.0,8.0,1.0
LHB/RHB,13,13.0,3.0,3.0
RB,22746,13057.0,7667.0,2945.0
RB/FB,60,57.0,15.0,8.0
RDT,16,9.0,2.0,1.0
RE,66,58.0,6.0,22.0
RH,1021,775.0,268.0,184.0
RH/FB,12,10.0,7.0,1.0
RH/LH/FS,12,11.0,1.0,1.0
RH/RE,12,11.0,2.0,3.0
RH/SS,10,10.0,2.0,2.0
RHB,77,72.0,17.0,29.0
RHB/LHB,14,11.0,3.0,2.0
TB,561,413.0,138.0,76.0
TB/RE,12,12.0,1.0,1.0
TE,662,429.0,56.0,149.0
TE/FB,15,15.0,1.0,2.0
WB,591,439.0,110.0,101.0
WR,3286,2304.0,274.0,1027.0
WR/QB,31,10.0,9.0,3.0
