Season,G,GS,RshTD,RecTD
1922,60,51.0,15.0,7.0
1923,104,88.0,22.0,16.0
1924,45,41.0,14.0,5.0
1925,130,103.0,21.0,24.0
1926,141,108.0,29.0,14.0
1927,81,59.0,11.0,12.0
1928,48,37.0,10.0,7.0
1929,94,51.0,20.0,12.0
1930,121,92.0,36.0,18.0
1931,94,52.0,9.0,21.0
1932,77,51.0,15.0,13.0
1933,35,32.0,7.0,7.0
1934,58,45.0,20.0,7.0
1935,34,17.0,8.0,4.0
1936,31,19.0,8.0,4.0
1937,43,38.0,13.0,6.0
1938,43,36.0,9.0,4.0
1939,51,33.0,7.0,7.0
1940,72,54.0,9.0,11.0
1941,44,32.0,16.0,6.0
1942,41,32.0,11.0,10.0
1943,77,54.0,17.0,22.0
1944,55,46.0,14.0,14.0
1945,74,56.0,31.0,14.0
1946,64,47.0,20.0,10.0
1947,66,27.0,15.0,15.0
1948,162,105.0,39.0,41.0
1949,123,88.0,52.0,27.0
1950,305,211.0,59.0,58.0
1951,277,200.0,54.0,50.0
1952,212,150.0,40.0,36.0
1953,198,153.0,48.0,41.0
1954,206,157.0,38.0,40.0
1955,178,147.0,43.0,33.0
1956,128,97.0,47.0,21.0
1957,190,153.0,46.0,39.0
1958,146,102.0,55.0,34.0
1959,199,157.0,51.0,45.0
1960,222,159.0,67.0,51.0
1961,290,218.0,68.0,51.0
1962,138,83.0,45.0,26.0
1963,167,127.0,55.0,26.0
1964,206,134.0,62.0,33.0
1965,268,167.0,89.0,44.0
1966,261,157.0,69.0,51.0
1967,286,189.0,90.0,39.0
1968,309,226.0,95.0,46.0
1969,448,236.0,108.0,65.0
1970,342,230.0,79.0,63.0
1971,243,165.0,71.0,40.0
1972,382,255.0,123.0,57.0
1973,386,280.0,91.0,77.0
1974,444,288.0,109.0,58.0
1975,458,214.0,144.0,69.0
1976,452,296.0,128.0,62.0
1977,406,229.0,108.0,68.0
1978,477,278.0,100.0,50.0
1979,419,245.0,112.0,62.0
1980,516,263.0,127.0,59.0
1981,544,276.0,129.0,84.0
1982,177,107.0,71.0,35.0
1983,432,258.0,144.0,60.0
1984,536,272.0,126.0,77.0
1985,589,362.0,151.0,100.0
1986,403,257.0,119.0,82.0
1987,346,214.0,107.0,78.0
1988,509,362.0,165.0,93.0
1989,391,222.0,108.0,58.0
1990,412,244.0,137.0,46.0
1991,439,241.0,124.0,65.0
1992,431,241.0,131.0,62.0
1993,341,197.0,76.0,50.0
1994,432,277.0,123.0,64.0
1995,504,330.0,149.0,84.0
1996,464,265.0,130.0,57.0
1997,331,204.0,115.0,35.0
1998,429,280.0,161.0,76.0
1999,406,279.0,126.0,63.0
2000,455,349.0,197.0,72.0
2001,514,309.0,140.0,65.0
2002,535,373.0,222.0,87.0
2003,354,194.0,130.0,41.0
2004,359,265.0,175.0,47.0
2005,459,336.0,181.0,80.0
2006,408,254.0,168.0,72.0
2007,401,242.0,134.0,50.0
2008,610,304.0,197.0,80.0
2009,556,323.0,177.0,83.0
2010,487,312.0,152.0,69.0
2011,490,309.0,162.0,87.0
2012,443,285.0,149.0,49.0
2013,559,321.0,174.0,86.0
2014,573,288.0,157.0,79.0
2015,633,326.0,166.0,85.0
2016,750,402.0,230.0,110.0
2017,696,310.0,184.0,93.0
2018,694,452.0,235.0,164.0
2019,721,412.0,228.0,134.0
2020,780,435.0,225.0,144.0
2021,840,467.0,239.0,144.0
2022,879,495.0,192.0,146.0
